COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
12501 Madison,Cuyahoga,,Ohio Historic Preservation Tax Credit,657101.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
TLT-Babcock,Summit,44333,JCTC Job Creation Tax Credit,63516.0,4000000.00,Cancelled,12,67,01/26/2009,N/A,N/A,6
Stuyvesant Motor Company Building,Cuyahoga,44115,Ohio Historic Preservation Tax Credit,1999500.0,N/A,Completed,N/A,N/A,06/30/2015,N/A,N/A,N/A
Pneumatic Scale Corporation,Summit,44223-3325,JCTC Job Creation Tax Credit,761711.0,4250000.00,Completed,100,199,10/25/2010,50.00,N/A,5
The Kroger Co.,Hamilton,45242,JCTC Job Creation Tax Credit,4670000.0,46000000.00,Servicing,649,25,06/01/2015,N/A,1.839,10
"The Business Backer, LLC",Hamilton,45242,JCTC Job Creation Tax Credit,675000.0,1000000.00,Cancelled,125,55,06/01/2015,N/A,1.692,6
Belcan LLC,Hamilton,45242,JCTC Job Creation Tax Credit,2800000.0,1750000.00,Servicing,200,560,06/24/2019,N/A,2.211,9
Integrity Express Logistics LLC,Hamilton,45242,JCTC Job Creation Tax Credit,315000.0,0.00,Servicing,45,248,12/07/2020,N/A,1.532,7
"RoundTower Technologies, LLC",Hamilton,45242-3785,JCTC Job Creation Tax Credit,467758.0,500000.00,Completed,47,36,03/26/2012,50.00,N/A,7
H. B. Fuller Company,Hamilton,45242-5623,JCTC Job Creation Tax Credit,89466.0,1500000.00,Completed,18,18,06/25/2012,35.00,N/A,6
Youngstown Tool and Die Company LLC,Mahoning,44509,JCTC Job Creation Tax Credit,250000.0,8000000.00,Servicing,60,44,01/28/2019,N/A,1.467,7
"Exterran Energy Solutions, L.P.",Mahoning,44509,JCTC Job Creation Tax Credit,470432.0,12533700.00,Completed,103,0,02/27/2012,55.00,N/A,3
1814 Race Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,217000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
Broadway Square (Small),Hamilton,45202,Ohio Historic Preservation Tax Credit,0.0,N/A,Cancelled,N/A,N/A,12/20/2012,N/A,N/A,N/A
1419 Vine Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,178858.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
"SparkPeople, Inc",Hamilton,45202,JCTC Job Creation Tax Credit,32234.0,230000.00,Cancelled,10,24,06/24/2013,35.00,N/A,5
1405 -1409 Vine Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,434954.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
"Rhinegeist, LLC",Hamilton,45202,JCTC Job Creation Tax Credit,58066.0,6500000.00,Completed,40,15,05/20/2014,N/A,1.060,5
"AssureCare, LLC",Hamilton,45202,JCTC Job Creation Tax Credit,1825000.0,9600000.00,Servicing,100,45,04/29/2019,N/A,2.150,9
Globe Building,Hamilton,45202,Ohio Historic Preservation Tax Credit,540000.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
1405-07 Elm Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,247981.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
"FirstGroup America, Inc.",Hamilton,45202-2426,JCTC Job Creation Tax Credit,265000.0,0.00,Servicing,75,330,01/26/2015,N/A,1.132,6
Emanuel Community Center,Hamilton,45202,Ohio Historic Preservation Tax Credit,248017.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
The Procter & Gamble Company,Hamilton,45202,JRTC-NR Job Retention Tax Credit Non-Refundable,11741776.0,20000000.00,Servicing,0,562,04/26/2010,65.00,N/A,10
Warner Brothers Pictures Building,Hamilton,45202,Ohio Historic Preservation Tax Credit,184000.0,N/A,Completed,N/A,N/A,06/30/2015,N/A,N/A,N/A
1413 Vine Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,145609.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
Corbus LLC,Hamilton,45202-2509,JCTC Job Creation Tax Credit,987133.0,132000.00,Servicing,128,10,07/30/2012,55.00,N/A,7
Westfalen Lofts,Hamilton,45202,Ohio Historic Preservation Tax Credit,602477.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
Abington Flats,Hamilton,45202,Ohio Historic Preservation Tax Credit,,N/A,Cancelled,N/A,N/A,12/20/2012,N/A,N/A,N/A
"Losant IoT, Inc.",Hamilton,45202,JCTC Job Creation Tax Credit,1377000.0,0.00,Approved,100,36,12/09/2019,N/A,2.000,8
M.T. Silver Building,Cuyahoga,44114,Ohio Historic Preservation Tax Credit,2249150.0,N/A,Completed,N/A,N/A,11/13/2007,N/A,N/A,N/A
"AmTrust Financial Services, Inc.",Cuyahoga,44114,JCTC Job Creation Tax Credit,11444636.0,19400000.00,Servicing,800,200,12/05/2011,75.00,N/A,15
"SM Management Services, LLC",Cuyahoga,44114-2600,JCTC Job Creation Tax Credit,65000.0,0.00,Approved,20,30,06/24/2019,N/A,1.201,6
Graeter's Manufacturing Co.,Hamilton,45216,JCTC Job Creation Tax Credit,49917.0,9113000.00,Completed,30,25,03/30/2009,N/A,N/A,5
"Seilkop Industries, Inc.",Hamilton,45216,JCTC Job Creation Tax Credit,29015.0,3700000.00,Completed,25,62,07/25/2011,45.00,N/A,3
Aldi Inc. (Ohio),Franklin,43017,JCTC Job Creation Tax Credit,100000.0,50000.00,Approved,30,45,12/07/2020,N/A,1.191,6
Husky Marketing and Supply Company,Franklin,43017,JCTC Job Creation Tax Credit,340000.0,100000.00,Servicing,30,55,07/27/2020,N/A,1.677,7
Virtusa Corporation,Franklin,43017,JCTC Job Creation Tax Credit,413000.0,0.00,Cancelled,50,0,07/25/2016,N/A,1.765,6
"ConAgra Foods Packaged Foods, LLC",Fulton,43502-1053,JCTC Job Creation Tax Credit,269000.0,60900000.00,Servicing,107,234,03/28/2016,N/A,1.121,6
"IntelliHARTx, LLC",Hancock,45480,JCTC Job Creation Tax Credit,819853.0,0.00,Cancelled,50,0,07/27/2016,45.00,N/A,6
"Koch Foods of Cincinnati, LLC",Butler,45014-2293,JCTC Job Creation Tax Credit,716919.0,42725000.00,Servicing,364,730,07/30/2012,50.00,N/A,6
"DNA Diagnostics Center, Inc.",Butler,45014,JCTC Job Creation Tax Credit,140000.0,85000.00,Cancelled,40,240,12/05/2016,N/A,1.638,6
"Anderson and DuBose, Inc.",Trumbull,44481,JCTC Job Creation Tax Credit,109341.0,15391385.00,Cancelled,70,115,09/28/2009,N/A,N/A,6
Matalco (Us) Inc,Trumbull,44481,JCTC Job Creation Tax Credit,450744.0,85700000.00,Servicing,60,0,12/02/2013,50.00,N/A,8
Orange Electronic North America LLC,Clermont,45147,JCTC Job Creation Tax Credit,203533.0,95960.00,Cancelled,66,0,05/23/2011,45.00,N/A,6
"Flow Dry Technology, Inc.",Montgomery,45309-9247,JCTC Job Creation Tax Credit,40378.0,280000.00,Completed,25,45,10/25/2010,35.00,N/A,6
PACCAR INC.,Ross,45601-8829,JCTC Job Creation Tax Credit,500000.0,143000000.00,Servicing,100,2244,12/10/2018,N/A,1.013,8
Cooper-Standard Automotive Inc.,Wood,43402-9062,JCTC Job Creation Tax Credit,53000.0,5300000.00,Cancelled,35,281,09/26/2016,N/A,0.843,5
"ThyssenKrupp Bilstein of America, Inc.",Butler,45015,JCTC Job Creation Tax Credit,725000.0,20000000.00,Servicing,75,586,12/06/2021,N/A,1.644,8
BrewDog Brewing Company LLC,Franklin,43110-9733,JCTC Job Creation Tax Credit,659000.0,30400000.00,Servicing,125,0,06/29/2015,N/A,1.350,6
Georgia-Pacific Corrugated LLC,Butler,45069,JCTC Job Creation Tax Credit,390000.0,14900000.00,Servicing,29,82,12/05/2016,N/A,2.304,7
"Sentrilock, LLC",Butler,45069,JCTC Job Creation Tax Credit,415000.0,200000.00,Approved,79,175,05/24/2021,N/A,1.494,7
"Westerman, Inc.",Fairfield,43107,JCTC Job Creation Tax Credit,76087.0,3558500.00,Completed,24,149,04/29/2013,35.00,N/A,6
Lefton Metal Enterprises Corporation,Columbiana,44431,JCTC Job Creation Tax Credit,156230.0,33300000.00,Servicing,65,67,12/02/2013,45.00,N/A,6
Euclid-71st Street Building,Cuyahoga,44103,Ohio Historic Preservation Tax Credit,4381703.0,N/A,Completed,N/A,N/A,12/22/2011,N/A,N/A,N/A
1733 Elm,Hamilton,,Ohio Historic Preservation Tax Credit,186500.0,N/A,Completed,N/A,N/A,06/26/2019,N/A,N/A,N/A
"Alhambra, Snook and Porter Buildings",Summit,,Ohio Historic Preservation Tax Credit,202000.0,N/A,Completed,N/A,N/A,,N/A,N/A,N/A
Green Lawn Abbey,Franklin,,Ohio Historic Preservation Tax Credit,98000.0,N/A,Completed,N/A,N/A,06/28/2016,N/A,N/A,N/A
1633 Vine - Rear,Hamilton,,Ohio Historic Preservation Tax Credit,78814.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
McClure-Nesbitt Motor Company (former),Franklin,,Ohio Historic Preservation Tax Credit,249999.0,N/A,Cancelled,N/A,N/A,06/20/2018,N/A,N/A,N/A
Homestead Theatre Block,Cuyahoga,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
Municipal Light Plant,Franklin,,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Servicing,N/A,N/A,06/28/2016,N/A,N/A,N/A
Coleman-Allen Building,Miami,,Ohio Historic Preservation Tax Credit,107000.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
30 E. 15th Street,Hamilton,,Ohio Historic Preservation Tax Credit,220000.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
United Brethren Publishing House (Centre City Building),Montgomery,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
Clione Bailey House,Franklin,43081,Ohio Historic Preservation Tax Credit,12250.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
"HumanIT Solutions, LLC",Greene,45434,JCTC Job Creation Tax Credit,325000.0,750000.00,Servicing,30,28,10/04/2021,N/A,1.695,7
Hydro Systems Company,Hamilton,45244-2413,JCTC Job Creation Tax Credit,79579.0,1300000.00,Servicing,31,125,10/27/2008,N/A,N/A,6
"Mitsubishi Chemical Performance Polymers, Inc.",Huron,44811,JCTC Job Creation Tax Credit,115041.0,13999445.00,Completed,25,63,05/20/2013,40.00,N/A,6
"SCI Engineered Materials, Inc.",Franklin,43228-4607,JCTC Job Creation Tax Credit,86525.0,2977000.00,Completed,50,26,07/26/2010,45.00,N/A,5
"Coldwater Machine Company, LLC",Mercer,45828,JCTC Job Creation Tax Credit,161068.0,4100000.00,Completed,35,73,08/27/2012,45.00,N/A,6
Speedway LLC,Clark,45323-1056,JCTC Job Creation Tax Credit,2136678.0,7600000.00,Servicing,621,804,07/28/2014,N/A,1.548,15
"Airstream, Inc.",Shelby,45334-9728,JCTC Job Creation Tax Credit,2325000.0,39850000.00,Servicing,280,900,02/26/2018,N/A,1.874,9
"DMAX, Ltd.",Montgomery,45439-1622,JCTC Job Creation Tax Credit,242000.0,58100000.00,Cancelled,150,524,08/29/2016,N/A,0.926,6
"Tyler Technologies, Inc.",Montgomery,45439,JCTC Job Creation Tax Credit,1810000.0,8400000.00,Servicing,225,158,02/25/2019,N/A,2.035,6
"Medline Industries, Inc.",Hamilton,45237-3308,JCTC Job Creation Tax Credit,154714.0,2000000.00,Completed,35,123,06/27/2011,45.00,N/A,6
"G2O, LLC",Franklin,43231-7601,JCTC Job Creation Tax Credit,443657.0,800000.00,Servicing,184,390,03/28/2011,50.00,N/A,9
"TH Plastics, Inc.",Hancock,45840-1799,JCTC Job Creation Tax Credit,188581.0,3000000.00,Servicing,85,0,06/29/2009,N/A,N/A,7
MITEC Powertrain Inc.,Hancock,45840-8733,JCTC Job Creation Tax Credit,340000.0,20100000.00,Completed,77,166,10/29/2018,N/A,1.215,7
Eaton Aeroquip LLC,Cuyahoga,44017-2906,JCTC Job Creation Tax Credit,160825.0,2050000.00,Completed,36,100,09/26/2011,40.00,N/A,3
Young Women's Christian Association,Summit,,Ohio Historic Preservation Tax Credit,3068766.0,N/A,Cancelled,N/A,N/A,12/17/2020,N/A,N/A,N/A
Quad Center,Muskingum,,Ohio Historic Preservation Tax Credit,982113.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
Hotel Secor,Lucas,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Cancelled,N/A,N/A,06/28/2016,N/A,N/A,N/A
Vertiv Group Corporation,Delaware,43081,JCTC Job Creation Tax Credit,1000000.0,2160000.00,Approved,100,706,01/31/2022,N/A,1.724,8
"Diamond Drugs, Inc.",Franklin,43081,JCTC Job Creation Tax Credit,44000.0,600000.00,Cancelled,34,0,01/25/2016,N/A,0.969,5
Norplas Industries Inc.,Wood,43619-1078,JCTC Job Creation Tax Credit,498147.0,6500000.00,Completed,300,496,09/27/2010,55.00,N/A,7
"GROB SYSTEMS, INC.",Hancock,45817-9666,JCTC Job Creation Tax Credit,340044.0,6996000.00,Completed,113,311,10/31/2011,45.00,N/A,7
"Magretech, LLC",Sandusky,44811,JCTC Job Creation Tax Credit,94000.0,9400000.00,Completed,35,28,10/31/2016,N/A,1.138,6
Parker-Hannifin Corporation,Union,43228-9747,JCTC Job Creation Tax Credit,2148540.0,12000000.00,Completed,125,302,08/29/2011,65.00,N/A,10
"Simpson Manufacturing Co., Inc.",Franklin,43228,JCTC Job Creation Tax Credit,560000.0,25000000.00,Approved,125,380,01/31/2022,N/A,1.340,8
Pactiv LLC,Franklin,43228-3820,JCTC Job Creation Tax Credit,184644.0,700000.00,Servicing,65,108,12/15/2015,N/A,1.283,3
"NuGrowth Solutions, LLC",Franklin,43228-4115,JCTC Job Creation Tax Credit,578486.0,250000.00,Completed,88,31,01/25/2010,40.00,N/A,5
Midwest Motor Supply Co.,Franklin,43228-9791,JCTC Job Creation Tax Credit,115788.0,8000000.00,Servicing,50,284,03/31/2014,N/A,1.029,6
Ball Metalpack LLC,Franklin,43228-4600,JCTC Job Creation Tax Credit,184000.0,15000000.00,Servicing,50,146,04/25/2016,N/A,1.228,6
"American Engineering & Manufacturing, Inc.",Lorain,44053-2048,JCTC Job Creation Tax Credit,119514.0,1375000.00,Completed,25,14,07/25/2011,50.00,N/A,7
"Carvana, LLC",Lorain,44053,JCTC Job Creation Tax Credit,1345000.0,23000000.00,Servicing,400,222,08/31/2020,N/A,1.368,8
"Equity Administrative Services, Inc.",Cuyahoga,44145,JCTC Job Creation Tax Credit,363000.0,3140000.00,Servicing,50,187,02/22/2010,45.00,N/A,6
IronUnits LLC,Lucas,43605,JCTC Job Creation Tax Credit,5868000.0,567000000.00,Servicing,130,0,07/31/2017,N/A,2.887,12
Silgan Plastics Corporation,Putnam,45875-8627,JCTC Job Creation Tax Credit,180536.0,11100000.00,Completed,30,160,06/28/2010,45.00,N/A,6
Eurostampa North America Inc.,Hamilton,45237-2621,JCTC Job Creation Tax Credit,301417.0,7250000.00,Completed,24,50,04/26/2010,45.00,N/A,6
Mercy Health,Hamilton,45237,JCTC Job Creation Tax Credit,16000000.0,0.00,Servicing,500,1089,06/24/2019,N/A,2.519,12
Marathon Petroleum Corporation,Hancock,45840-3229,JCTC Job Creation Tax Credit,6410250.0,59680000.00,Servicing,370,1650,05/23/2011,60.00,N/A,14
"McLane Company, Inc.",Hancock,45840,JCTC Job Creation Tax Credit,3576403.0,119000000.00,Servicing,425,0,05/20/2014,N/A,1.931,8
"Kohl's Department Stores, Inc.",Hancock,45840-1818,JCTC Job Creation Tax Credit,98012.0,28000000.00,Completed,50,180,05/23/2011,45.00,N/A,3
"Findlay Machine & Tool, Inc.",Hancock,45840,JCTC Job Creation Tax Credit,170000.0,7240960.00,Approved,52,26,06/28/2021,N/A,1.276,6
Rowmark LLC,Hancock,45840-5443,JCTC Job Creation Tax Credit,304366.0,3001000.00,Completed,21,109,10/25/2010,35.00,N/A,5
"Nissin Brake Ohio, Inc.",Hancock,45840-5442,JCTC Job Creation Tax Credit,229183.0,19400000.00,Completed,37,674,06/28/2010,40.00,N/A,5
First Congregational Church (Conservatory of Music Annex),Cuyahoga,44017,Ohio Historic Preservation Tax Credit,3598642.0,N/A,Completed,N/A,N/A,06/30/2010,N/A,N/A,N/A
"International Technical Coatings, Inc.",Franklin,43207,JCTC Job Creation Tax Credit,255000.0,14200000.00,Servicing,67,165,03/29/2021,N/A,1.269,7
"Closed Loop Refining & Recovery, Inc.",Franklin,43207-3323,JCTC Job Creation Tax Credit,66810.0,2000000.00,Completed,55,0,04/30/2012,40.00,N/A,6
"Deceuninck North America, LLC",Butler,45050-1233,JCTC Job Creation Tax Credit,400000.0,27010000.00,Servicing,85,480,12/04/2017,N/A,1.350,7
"RRI Reservations, LLC",Clark,45504,JCTC Job Creation Tax Credit,25885.0,1250000.00,Completed,30,0,12/08/2008,N/A,N/A,5
Allied Machine & Engineering Corporation,Tuscarawas,44622-3103,JCTC Job Creation Tax Credit,100000.0,9584100.00,Approved,21,431,12/09/2019,N/A,1.292,6
ISS America Inc.,Logan,43311,JCTC Job Creation Tax Credit,34620.0,3000000.00,Completed,20,6,06/24/2013,35.00,N/A,6
"Green Circle Growers, Inc.",Lorain,44074-9637,JCTC Job Creation Tax Credit,1730000.0,125000000.00,Approved,250,692,08/23/2021,N/A,1.624,8
Apollo Theatre,Lorain,44074,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Completed,N/A,N/A,12/10/2009,N/A,N/A,N/A
Wittenberg Fieldhouse,Clark,45504,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
Deflecto LLC,Tuscarawas,44622-1964,JCTC Job Creation Tax Credit,21165.0,800000.00,Completed,25,69,05/19/2008,N/A,N/A,5
Arrow Apartments,Hamilton,45219,Ohio Historic Preservation Tax Credit,352696.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
"Clark, Dennison, and the Hamlet",Franklin,43201,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,12/20/2013,N/A,N/A,N/A
Tripack LLC,Hamilton,45150,JCTC Job Creation Tax Credit,191000.0,6000000.00,Completed,60,25,06/29/2015,45.00,N/A,7
"AGC Flat Glass North America, Inc.",Logan,43311-1082,JCTC Job Creation Tax Credit,819484.0,28750000.00,Servicing,100,450,02/27/2012,50.00,N/A,13
"Ultra Premium Oilfield Services, LTD",Trumbull,44403-8720,JCTC Job Creation Tax Credit,775577.0,10000000.00,Completed,120,0,02/22/2010,40.00,N/A,6
"Miba Energy Holding, LLC",Morgan,43756,JCTC Job Creation Tax Credit,55308.0,800000.00,Servicing,10,0,03/03/2014,N/A,1.308,6
"Ruralogic, Inc.",Williams,43506,JCTC Job Creation Tax Credit,707704.0,870000.00,Cancelled,48,14,07/26/2010,60.00,N/A,8
1833 Sycamore Street,Hamilton,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/12/2018,N/A,N/A,N/A
"Middletown Coke Company, Inc.",Butler,45044-8927,JCTC Job Creation Tax Credit,2531632.0,385000000.00,Servicing,75,0,05/24/2010,70.00,N/A,10
PAC Worldwide Corporation,Butler,45044,JCTC Job Creation Tax Credit,50288.0,2500000.00,Completed,35,183,02/23/2009,N/A,N/A,6
"NCI Group, Inc.",Butler,45044-8301,JCTC Job Creation Tax Credit,197675.0,12755000.00,Completed,74,0,04/26/2010,50.00,N/A,6
"Contitech Usa, Inc.",Summit,44333,JCTC Job Creation Tax Credit,800000.0,1436925.00,Completed,50,182,07/31/2017,N/A,2.034,10
Hanna Building Complex,Cuyahoga,44115,Ohio Historic Preservation Tax Credit,14058644.0,N/A,Completed,N/A,N/A,03/13/2008,N/A,N/A,N/A
Kresge Building,Cuyahoga,44115,Ohio Historic Preservation Tax Credit,447266.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
Petrie Plus Building,Cuyahoga,44115,Ohio Historic Preservation Tax Credit,243963.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
"InfoTrust, LLC",Hamilton,45242,JCTC Job Creation Tax Credit,300000.0,0.00,Servicing,60,36,02/25/2019,N/A,1.180,6
"Callibrity Solutions, LLC",Hamilton,45242,JCTC Job Creation Tax Credit,1295000.0,400000.00,Servicing,95,30,12/09/2019,N/A,1.982,8
EBTH.COM LLC,Hamilton,45242,JCTC Job Creation Tax Credit,590000.0,500000.00,Completed,275,97,04/25/2016,N/A,1.259,7
Viscus Biologics LLC,Cuyahoga,44103-4036,JCTC Job Creation Tax Credit,221586.0,2000000.00,Completed,26,0,12/08/2008,N/A,N/A,4
"Mace Security International, Inc.",Cuyahoga,44103,JCTC Job Creation Tax Credit,98278.0,1700000.00,Completed,35,0,09/24/2012,35.00,N/A,5
"Pacer International, Inc.",Franklin,43016-8690,JCTC Job Creation Tax Credit,431195.0,1255000.00,Completed,50,397,12/05/2011,45.00,N/A,7
"Stanley Steemer International, Inc.",Franklin,43016-3271,JCTC Job Creation Tax Credit,329602.0,385000.00,Completed,120,93,09/28/2009,N/A,N/A,6
1417 Vine Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,135682.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
Merchants Building,Hamilton,45202,Ohio Historic Preservation Tax Credit,982295.0,N/A,Completed,N/A,N/A,06/30/2015,N/A,N/A,N/A
1500 Race,Hamilton,45202,Ohio Historic Preservation Tax Credit,221379.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
"Advantage IQ, Inc.",Hamilton,45202-2400,JCTC Job Creation Tax Credit,119753.0,150000.00,Cancelled,33,65,06/29/2009,N/A,N/A,6
Metropole Building,Hamilton,45202,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,06/30/2010,N/A,N/A,N/A
521-523 East 12th Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,203362.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
Market Square A,Hamilton,45202,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,06/30/2015,N/A,N/A,N/A
Broadway Square (Large),Hamilton,45202,Ohio Historic Preservation Tax Credit,2437085.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
"Zipscene, LLC",Hamilton,45202,JCTC Job Creation Tax Credit,232679.0,0.00,Completed,47,24,03/03/2014,45.00,N/A,6
Kinsey Apartments,Hamilton,45202,Ohio Historic Preservation Tax Credit,,N/A,Cancelled,N/A,N/A,06/26/2013,N/A,N/A,N/A
Ophthalmic Hospital,Hamilton,45202,Ohio Historic Preservation Tax Credit,732950.0,N/A,Cancelled,N/A,N/A,12/16/2015,N/A,N/A,N/A
"Reztark Design Studio, LLC",Hamilton,45202,JCTC Job Creation Tax Credit,26000.0,250000.00,Completed,16,28,01/25/2016,N/A,0.838,5
Eden Park Pump Station,Hamilton,45202,Ohio Historic Preservation Tax Credit,,N/A,Cancelled,N/A,N/A,12/20/2012,N/A,N/A,N/A
Brill House,Hamilton,45202,Ohio Historic Preservation Tax Credit,62500.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
Sunshine Cloak Company Building,Cuyahoga,44114,Ohio Historic Preservation Tax Credit,1735897.0,N/A,Completed,N/A,N/A,11/13/2007,N/A,N/A,N/A
Alexander Mann Solutions Corp,Cuyahoga,44114-1823,JCTC Job Creation Tax Credit,1831104.0,350000.00,Servicing,90,0,04/30/2012,45.00,N/A,7
"MCPc, Inc.",Cuyahoga,44114-3832,JCTC Job Creation Tax Credit,376227.0,3287050.00,Completed,36,154,07/26/2010,50.00,N/A,6
Messer Construction Co.,Hamilton,45216,JCTC Job Creation Tax Credit,133000.0,3000000.00,Servicing,32,97,09/29/2014,N/A,1.352,5
"InnoSource, Inc.",Franklin,43017,JCTC Job Creation Tax Credit,150000.0,0.00,Servicing,20,30,01/30/2017,N/A,1.634,6
"HP Pelzer Automotive Systems, Inc.",Lucas,43616,JCTC Job Creation Tax Credit,300000.0,8826000.00,Servicing,79,0,06/08/2020,N/A,1.293,7
"Alpont, LLC",Lucas,43616,JCTC Job Creation Tax Credit,229000.0,61902000.00,Servicing,31,0,07/31/2017,N/A,1.126,7
"Magna Seating of America, Inc.",Lorain,44054-2848,JCTC Job Creation Tax Credit,85000.0,2281340.00,Cancelled,30,35,06/27/2016,N/A,1.200,6
Crown Equipment Corporation,Auglaize,45869-1247,JCTC Job Creation Tax Credit,5580000.0,130000000.00,Servicing,563,4348,10/29/2018,N/A,2.013,10
Consolidated Metco Inc,Ross,45601,JCTC Job Creation Tax Credit,139294.0,1314705.00,Completed,55,0,06/30/2014,N/A,1.100,5
E-Technologies Group,Butler,45069-4821,JCTC Job Creation Tax Credit,148761.0,875000.00,Completed,27,85,03/25/2013,45.00,N/A,5
Hollencamp House,Greene,45385,Ohio Historic Preservation Tax Credit,19750.0,N/A,Cancelled,N/A,N/A,06/24/2014,N/A,N/A,N/A
"Ohio National Financial Services, Inc.",Hamilton,45242-5851,JCTC Job Creation Tax Credit,1818762.0,7000000.00,Servicing,270,859,04/28/2014,N/A,1.854,7
East Ohio Building,Cuyahoga,44114,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
"ProLink Staffing Services, LLC",Hamilton,,JCTC Job Creation Tax Credit,344000.0,50000.00,Cancelled,90,94,03/27/2017,N/A,1.486,6
1925 Vine Street,Hamilton,,Ohio Historic Preservation Tax Credit,249000.0,N/A,Completed,N/A,N/A,12/20/2016,N/A,N/A,N/A
201-203 Henry/1925-1927 Elm,Hamilton,,Ohio Historic Preservation Tax Credit,249999.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
310 Perry,Hamilton,,Ohio Historic Preservation Tax Credit,212760.0,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
Safeguard Properties Management LLC,Cuyahoga,44125-5742,JCTC Job Creation Tax Credit,1028101.0,100000.00,Servicing,300,923,09/24/2012,55.00,N/A,7
"Fathom SEO, LLC",Cuyahoga,44125-4267,JCTC Job Creation Tax Credit,24225.0,150000.00,Completed,36,85,05/21/2012,40.00,N/A,6
Henny Penny Corporation,Preble,45320,JCTC Job Creation Tax Credit,250000.0,16000000.00,Servicing,70,737,10/28/2019,N/A,1.294,7
"Involta, LLC",Summit,44301,JCTC Job Creation Tax Credit,309029.0,20000000.00,Completed,50,0,03/29/2010,45.00,N/A,6
Granville Inn,Licking,43023,Ohio Historic Preservation Tax Credit,1400000.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
"Arlington Contact Lens Service, Inc.",Franklin,43228-3834,JCTC Job Creation Tax Credit,163000.0,2000000.00,Servicing,50,110,06/01/2015,N/A,1.254,6
SCR-Tech LLC,Franklin,43228-9511,JCTC Job Creation Tax Credit,183023.0,7900000.00,Cancelled,50,0,03/28/2011,55.00,N/A,7
"Mars Petcare U.S., Inc.",Franklin,43228-9146,JCTC Job Creation Tax Credit,235117.0,10000000.00,Cancelled,25,431,03/30/2009,N/A,N/A,6
IMCD US LLC,Cuyahoga,44145,JCTC Job Creation Tax Credit,139600.0,797151.00,Servicing,25,66,03/25/2019,N/A,1.305,6
